"","second_name","first_name","team_name","position","mean_points_last_5","difficulty_next_5","t_score","t_score_cpt"
"336","Richards","Ashley Darel Jazz","Cardiff","Defender",0.2,2.8,"0.07","0.07"
"337","Zohore","Kenneth","Cardiff","Forward",0.2,2.8,"0.07","0.07"
"338","Madine","Gary","Cardiff","Forward",0.2,2.8,"0.07","0.07"
"339","Cunninghamm","Greg","Cardiff","Defender",0.2,2.8,"0.07","0.07"
"340","Kelly","Martin","Crystal Palace","Defender",0.2,3,"0.07","0.05"
"341","Puncheon","Jason","Crystal Palace","Midfielder",0.2,3,"0.07","0.05"
"342","Wickham","Connor","Crystal Palace","Forward",0.2,3,"0.07","0.05"
"343","Ream","Tim","Fulham","Defender",0.2,3,"0.07","0.10"
"344","Ayité","Floyd","Fulham","Midfielder",0.2,3,"0.07","0.10"
"345","Mawson","Alfie","Fulham","Defender",0.2,3,"0.07","0.10"
"346","van La Parra","Rajiv","Huddersfield","Midfielder",0.2,2.8,"0.07","0.07"
"347","Sobhi","Ramadan","Huddersfield","Midfielder",0.2,2.8,"0.07","0.07"
"348","Diakhaby","Adama","Huddersfield","Midfielder",0.2,2.8,"0.07","0.07"
"349","Simpson","Danny","Leicester","Defender",0.2,2.8,"0.07","0.07"
"350","Matip","Joel","Liverpool","Defender",0.2,3,"0.07","0.07"
"351","McTominay","Scott","Man Utd","Midfielder",0.2,3,"0.07","0.10"
"352","Llorente","Fernando","Spurs","Forward",0.2,3,"0.07","0.05"
"353","Wilmot","Ben","Watford","Defender",0.25,3.4,"0.07","0.06"
"354","Surman","Andrew","Bournemouth","Midfielder",0.2,3.6,"0.06","0.05"
"355","Jagielka","Phil","Everton","Defender",0.2,3.4,"0.06","0.10"
"356","Schneiderlin","Morgan","Everton","Midfielder",0.2,3.4,"0.06","0.10"
"357","Davies","Tom","Everton","Midfielder",0.2,3.4,"0.06","0.10"
"358","Delph","Fabian","Man City","Defender",0.2,3.2,"0.06","0.07"
"359","Bednarek","Jan","Southampton","Defender",0.2,3.2,"0.06","0.10"
"360","Prödl","Sebastian","Watford","Defender",0.2,3.4,"0.06","0.05"
"361","Sema","Ken","Watford","Midfielder",0.2,3.4,"0.06","0.05"
"362","Cech","Petr","Arsenal","Goalkeeper",0,3,"0.00","0.00"
"363","Koscielny","Laurent","Arsenal","Defender",0,3,"0.00","0.00"
"364","Mavropanos","Konstantinos","Arsenal","Defender",0,3,"0.00","0.00"
"365","Papastathopoulos","Sokratis","Arsenal","Defender",0,3,"0.00","0.00"
"366","Elneny","Mohamed","Arsenal","Midfielder",0,3,"0.00","0.00"
"367","Nelson","Reiss","Arsenal","Midfielder",0,3,"0.00","0.00"
"368","Maitland-Niles","Ainsley","Arsenal","Midfielder",0,3,"0.00","0.00"
"369","Martínez","Emiliano","Arsenal","Goalkeeper",0,3,"0.00","0.00"
"370","Smith-Rowe","Emile","Arsenal","Midfielder",0,3,"0.00","0.00"
"371","Medley","Zech","Arsenal","Defender",0,3,"0.00","0.00"
"372","Nketiah","Edward","Arsenal","Forward",0,3,"0.00","0.00"
"373","Boruc","Artur","Bournemouth","Goalkeeper",0,3.6,"0.00","0.00"
"374","Mings","Tyrone","Bournemouth","Defender",0,3.6,"0.00","0.00"
"375","Simpson","Jack","Bournemouth","Defender",0,3.6,"0.00","0.00"
"376","Pugh","Marc","Bournemouth","Midfielder",0,3.6,"0.00","0.00"
"377","Hyndman","Emerson","Bournemouth","Midfielder",0,3.6,"0.00","0.00"
"378","Mousset","Lys","Bournemouth","Forward",0,3.6,"0.00","0.00"
"379","Rico","Diego","Bournemouth","Defender",0,3.6,"0.00","0.00"
"380","Suttner","Markus","Brighton","Defender",0,2.6,"0.00","0.00"
"381","Schelotto","Ezequiel","Brighton","Defender",0,2.6,"0.00","0.00"
"382","Balogun","Leon","Brighton","Defender",0,2.6,"0.00","0.00"
"383","Groß","Pascal","Brighton","Midfielder",0,2.6,"0.00","0.00"
"384","Hemed","Tomer","Brighton","Forward",0,2.6,"0.00","0.00"
"385","Baldock","Sam","Brighton","Forward",0,2.6,"0.00","0.00"
"386","Button","David","Brighton","Goalkeeper",0,2.6,"0.00","0.00"
"387","Steele","Jason","Brighton","Goalkeeper",0,2.6,"0.00","0.00"
"388","Gyokeres","Viktor","Brighton","Forward",0,2.6,"0.00","0.00"
"389","Heaton","Tom","Burnley","Goalkeeper",0,2.8,"0.00","0.00"
"390","Pope","Nick","Burnley","Goalkeeper",0,2.8,"0.00","0.00"
"391","Ward","Stephen","Burnley","Defender",0,2.8,"0.00","0.00"
"392","Tarkowski","James","Burnley","Defender",0,2.8,"0.00","0.00"
"393","Bardsley","Phil","Burnley","Defender",0,2.8,"0.00","0.00"
"394","Walters","Jonathan","Burnley","Midfielder",0,2.8,"0.00","0.00"
"395","Wells","Nahki","Burnley","Forward",0,2.8,"0.00","0.00"
"396","Lindegaard","Anders","Burnley","Goalkeeper",0,2.8,"0.00","0.00"
"397","Gibson","Ben","Burnley","Defender",0,2.8,"0.00","0.00"
"398","McNeil","Dwight","Burnley","Midfielder",0,2.8,"0.00","0.00"
"399","Smithies","Alex","Cardiff","Goalkeeper",0,2.8,"0.00","0.00"
"400","Connolly","Matthew","Cardiff","Defender",0,2.8,"0.00","0.00"
"401","Halford","Greg","Cardiff","Defender",0,2.8,"0.00","0.00"
"402","Ralls","Joe","Cardiff","Midfielder",0,2.8,"0.00","0.00"
"403","Mendez-Laing","Nathaniel","Cardiff","Midfielder",0,2.8,"0.00","0.00"
"404","Pilkington","Anthony","Cardiff","Midfielder",0,2.8,"0.00","0.00"
"405","Bogle","Omar","Cardiff","Forward",0,2.8,"0.00","0.00"
"406","Murphy","Brian","Cardiff","Goalkeeper",0,2.8,"0.00","0.00"
"407","Courtois","Thibaut","Chelsea","Goalkeeper",0,3.4,"0.00","0.00"
"408","Caballero","Willy","Chelsea","Goalkeeper",0,3.4,"0.00","0.00"
"409","Cahill","Gary","Chelsea","Defender",0,3.4,"0.00","0.00"
"410","Moses","Victor","Chelsea","Defender",0,3.4,"0.00","0.00"
"411","Christensen","Andreas","Chelsea","Defender",0,3.4,"0.00","0.00"
"412","Zappacosta","Davide","Chelsea","Defender",0,3.4,"0.00","0.00"
"413","Palmieri dos Santos","Emerson","Chelsea","Defender",0,3.4,"0.00","0.00"
"414","Drinkwater","Daniel","Chelsea","Midfielder",0,3.4,"0.00","0.00"
"415","Bakayoko","Tiemoué","Chelsea","Midfielder",0,3.4,"0.00","0.00"
"416","Ampadu","Ethan","Chelsea","Midfielder",0,3.4,"0.00","0.00"
"417","Hudson-Odoi","Callum","Chelsea","Midfielder",0,3.4,"0.00","0.00"
"418","Abraham","Tammy","Chelsea","Forward",0,3.4,"0.00","0.00"
"419","Speroni","Julian","Crystal Palace","Goalkeeper",0,3,"0.00","0.00"
"420","Guaita","Vicente","Crystal Palace","Goalkeeper",0,3,"0.00","0.00"
"421","Dann","Scott","Crystal Palace","Defender",0,3,"0.00","0.00"
"422","Riedewald","Jairo","Crystal Palace","Defender",0,3,"0.00","0.00"
"423","Sako","Bakary","Crystal Palace","Midfielder",0,3,"0.00","0.00"
"424","Benteke","Christian","Crystal Palace","Forward",0,3,"0.00","0.00"
"425","Ward","Joel","Crystal Palace","Defender",0,3,"0.00","0.00"
"426","Jach","Jaroslaw","Crystal Palace","Defender",0,3,"0.00","0.00"
"427","Souaré","Pape","Crystal Palace","Defender",0,3,"0.00","0.00"
"428","Kaikai","Sullay","Crystal Palace","Midfielder",0,3,"0.00","0.00"
"429","Stekelenburg","Maarten","Everton","Goalkeeper",0,3.4,"0.00","0.00"
"430","Baines","Leighton","Everton","Defender",0,3.4,"0.00","0.00"
"431","Williams","Ashley","Everton","Defender",0,3.4,"0.00","0.00"
"432","Holgate","Mason","Everton","Defender",0,3.4,"0.00","0.00"
"433","Martina","Cuco","Everton","Defender",0,3.4,"0.00","0.00"
"434","Bolasie","Yannick","Everton","Midfielder",0,3.4,"0.00","0.00"
"435","McCarthy","James","Everton","Midfielder",0,3.4,"0.00","0.00"
"436","Klaassen","Davy","Everton","Midfielder",0,3.4,"0.00","0.00"
"437","Vlasic","Nikola","Everton","Midfielder",0,3.4,"0.00","0.00"
"438","Baningime","Beni","Everton","Midfielder",0,3.4,"0.00","0.00"
"439","Niasse","Oumar","Everton","Forward",0,3.4,"0.00","0.00"
"440","Mirallas","Kevin","Everton","Midfielder",0,3.4,"0.00","0.00"
"441","Ramírez","Sandro","Everton","Forward",0,3.4,"0.00","0.00"
"442","Dowell","Kieran","Everton","Midfielder",0,3.4,"0.00","0.00"
"443","Browning","Tyias","Everton","Defender",0,3.4,"0.00","0.00"
"444","Bettinelli","Marcus","Fulham","Goalkeeper",0,3,"0.00","0.00"
"445","Kebano","Neeskens","Fulham","Midfielder",0,3,"0.00","0.00"
"446","da Rocha Fonte","Rui Pedro","Fulham","Midfielder",0,3,"0.00","0.00"
"447","Agosto Ramírez","Fabricio","Fulham","Goalkeeper",0,3,"0.00","0.00"
"448","Bryan","Joe","Fulham","Defender",0,3,"0.00","0.00"
"449","Cissé","Ibrahima","Fulham","Midfielder",0,3,"0.00","0.00"
"450","Sessegnon","Zeze Steven","Fulham","Defender",0,3,"0.00","0.00"
"451","Hamer","Ben","Huddersfield","Goalkeeper",0,2.8,"0.00","0.00"
"452","Smith","Tommy","Huddersfield","Defender",0,2.8,"0.00","0.00"
"453","Malone","Scott","Huddersfield","Defender",0,2.8,"0.00","0.00"
"454","Ince","Tom","Huddersfield","Midfielder",0,2.8,"0.00","0.00"
"455","Williams","Danny","Huddersfield","Midfielder",0,2.8,"0.00","0.00"
"456","Sabiri","Abdelhamid","Huddersfield","Midfielder",0,2.8,"0.00","0.00"
"457","Quaner","Collin","Huddersfield","Forward",0,2.8,"0.00","0.00"
"458","Kachunga","Elias","Huddersfield","Forward",0,2.8,"0.00","0.00"
"459","Stankovic","Jon Gorenc","Huddersfield","Defender",0,2.8,"0.00","0.00"
"460","Schofield","Ryan","Huddersfield","Goalkeeper",0,2.8,"0.00","0.00"
"461","Jakupovic","Eldin","Leicester","Goalkeeper",0,2.8,"0.00","0.00"
"462","Fuchs","Christian","Leicester","Defender",0,2.8,"0.00","0.00"
"463","Benalouane","Yohan","Leicester","Defender",0,2.8,"0.00","0.00"
"464","James","Matty","Leicester","Midfielder",0,2.8,"0.00","0.00"
"465","Choudhury","Hamza","Leicester","Midfielder",0,2.8,"0.00","0.00"
"466","Perruchet Silva","Adrien Sebastian","Leicester","Midfielder",0,2.8,"0.00","0.00"
"467","Diabaté","Fousseni","Leicester","Midfielder",0,2.8,"0.00","0.00"
"468","Ward","Danny","Leicester","Goalkeeper",0,2.8,"0.00","0.00"
"469","Benkovic","Filip","Leicester","Defender",0,2.8,"0.00","0.00"
"470","Mignolet","Simon","Liverpool","Goalkeeper",0,3,"0.00","0.00"
"471","Karius","Loris","Liverpool","Goalkeeper",0,3,"0.00","0.00"
"472","Clyne","Nathaniel","Liverpool","Defender",0,3,"0.00","0.00"
"473","Klavan","Ragnar","Liverpool","Defender",0,3,"0.00","0.00"
"474","Oxlade-Chamberlain","Alex","Liverpool","Midfielder",0,3,"0.00","0.00"
"475","Solanke","Dominic","Liverpool","Forward",0,3,"0.00","0.00"
"476","Origi","Divock","Liverpool","Forward",0,3,"0.00","0.00"
"477","Bravo","Claudio","Man City","Goalkeeper",0,3.2,"0.00","0.00"
"478","Otamendi","Nicolás","Man City","Defender",0,3.2,"0.00","0.00"
"479","da Silva","Danilo Luiz","Man City","Defender",0,3.2,"0.00","0.00"
"480","Diaz","Brahim","Man City","Midfielder",0,3.2,"0.00","0.00"
"481","Zinchenko","Oleksandr","Man City","Midfielder",0,3.2,"0.00","0.00"
"482","Muric","Arijanet","Man City","Goalkeeper",0,3.2,"0.00","0.00"
"483","Romero","Sergio","Man Utd","Goalkeeper",0,3,"0.00","0.00"
"484","Jones","Phil","Man Utd","Defender",0,3,"0.00","0.00"
"485","Rojo","Marcos","Man Utd","Defender",0,3,"0.00","0.00"
"486","Valencia","Antonio","Man Utd","Defender",0,3,"0.00","0.00"
"487","Darmian","Matteo","Man Utd","Defender",0,3,"0.00","0.00"
"488","Blind","Daley","Man Utd","Defender",0,3,"0.00","0.00"
"489","Bailly","Eric","Man Utd","Defender",0,3,"0.00","0.00"
"490","Dalot Teixeira","José Diogo","Man Utd","Defender",0,3,"0.00","0.00"
"491","Pereira","Andreas","Man Utd","Midfielder",0,3,"0.00","0.00"
"492","Grant","Lee","Man Utd","Goalkeeper",0,3,"0.00","0.00"
"493","Elliot","Robert","Newcastle","Goalkeeper",0,2.4,"0.00","0.00"
"494","Darlow","Karl","Newcastle","Goalkeeper",0,2.4,"0.00","0.00"
"495","Lejeune","Florian","Newcastle","Defender",0,2.4,"0.00","0.00"
"496","Mbemba","Chancel","Newcastle","Defender",0,2.4,"0.00","0.00"
"497","Merino","Mikel","Newcastle","Midfielder",0,2.4,"0.00","0.00"
"498","Gayle","Dwight","Newcastle","Forward",0,2.4,"0.00","0.00"
"499","Sterry","Jamie","Newcastle","Defender",0,2.4,"0.00","0.00"
"500","Longstaff","Sean","Newcastle","Midfielder",0,2.4,"0.00","0.00"
"501","Forster","Fraser","Southampton","Goalkeeper",0,3.2,"0.00","0.00"
"502","McQueen","Sam","Southampton","Defender",0,3.2,"0.00","0.00"
"503","Davis","Steven","Southampton","Midfielder",0,3.2,"0.00","0.00"
"504","Boufal","Sofiane","Southampton","Midfielder",0,3.2,"0.00","0.00"
"505","Sims","Joshua","Southampton","Midfielder",0,3.2,"0.00","0.00"
"506","Carrillo","Guido","Southampton","Forward",0,3.2,"0.00","0.00"
"507","Gunn","Angus","Southampton","Goalkeeper",0,3.2,"0.00","0.00"
"508","Vestergaard","Jannik","Southampton","Defender",0,3.2,"0.00","0.00"
"509","Targett","Matt","Southampton","Defender",0,3.2,"0.00","0.00"
"510","Vorm","Michel","Spurs","Goalkeeper",0,3,"0.00","0.00"
"511","Vertonghen","Jan","Spurs","Defender",0,3,"0.00","0.00"
"512","Walker-Peters","Kyle","Spurs","Defender",0,3,"0.00","0.00"
"513","Nkoudou","Georges-Kévin","Spurs","Midfielder",0,3,"0.00","0.00"
"514","Amos","Luke","Spurs","Midfielder",0,3,"0.00","0.00"
"515","Gazzaniga","Paulo","Spurs","Goalkeeper",0,3,"0.00","0.00"
"516","Whiteman","Alfie","Spurs","Goalkeeper",0,3,"0.00","0.00"
"517","Skipp","Oliver","Spurs","Midfielder",0,3,"0.00","0.00"
"518","Gomes","Heurelho","Watford","Goalkeeper",0,3.4,"0.00","0.00"
"519","Dahlberg","Pontus","Watford","Goalkeeper",0,3.4,"0.00","0.00"
"520","Kaboul","Younes","Watford","Defender",0,3.4,"0.00","0.00"
"521","Britos","Miguel","Watford","Defender",0,3.4,"0.00","0.00"
"522","Janmaat","Daryl","Watford","Defender",0,3.4,"0.00","0.00"
"523","Zeegelaar","Marvin","Watford","Defender",0,3.4,"0.00","0.00"
"524","Navarro","Marc","Watford","Defender",0,3.4,"0.00","0.00"
"525","Cleverley","Tom","Watford","Midfielder",0,3.4,"0.00","0.00"
"526","Okaka","Stefano","Watford","Forward",0,3.4,"0.00","0.00"
"527","Sinclair","Jerome","Watford","Forward",0,3.4,"0.00","0.00"
"528","Quina","Domingos","Watford","Midfielder",0,3.4,"0.00","0.00"
"529","San Miguel del Castillo","Adrián","West Ham","Goalkeeper",0,2.6,"0.00","0.00"
"530","Reid","Winston","West Ham","Defender",0,2.6,"0.00","0.00"
"531","Byram","Sam","West Ham","Defender",0,2.6,"0.00","0.00"
"532","Oxford","Reece","West Ham","Defender",0,2.6,"0.00","0.00"
"533","Lanzini","Manuel","West Ham","Midfielder",0,2.6,"0.00","0.00"
"534","Fernandes","Edimilson","West Ham","Midfielder",0,2.6,"0.00","0.00"
"535","Carroll","Andy","West Ham","Forward",0,2.6,"0.00","0.00"
"536","Hugill","Jordan","West Ham","Forward",0,2.6,"0.00","0.00"
"537","Wilshere","Jack","West Ham","Midfielder",0,2.6,"0.00","0.00"
"538","Sánchez","Carlos","West Ham","Midfielder",0,2.6,"0.00","0.00"
"539","Powell","Joe","West Ham","Midfielder",0,2.6,"0.00","0.00"
"540","Coventry","Conor","West Ham","Midfielder",0,2.6,"0.00","0.00"
"541","Ruddy","John","Wolves","Goalkeeper",0,2.6,"0.00","0.00"
"542","Norris","Will","Wolves","Goalkeeper",0,2.6,"0.00","0.00"
"543","Douglas","Barry","Wolves","Defender",0,2.6,"0.00","0.00"
"544","Batth","Danny","Wolves","Defender",0,2.6,"0.00","0.00"
"545","Gonçalves Miranda","Roderick Jefferson","Wolves","Defender",0,2.6,"0.00","0.00"
"546","Enobakhare","Bright","Wolves","Midfielder",0,2.6,"0.00","0.00"
"547","Mir","Rafa","Wolves","Forward",0,2.6,"0.00","0.00"
"548","Dendoncker","Leander","Wolves","Midfielder",0,2.6,"0.00","0.00"
"549","Hause","Kortney","Wolves","Defender",0,2.6,"0.00","0.00"
"550","Kabasele","Christian","Watford","Defender",-0.6,3.4,"-0.18","-0.15"
"551","Chambers","Calum","Fulham","Defender",-0.2,3,"-0.07","-0.10"
"552","Fosu-Mensah","Timothy","Fulham","Defender",-0.2,3,"-0.07","-0.10"
